row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
5	ds:6DA2	Choose building to enter,  # to inspect character, (ESC exits)	62	選擇要進入的建築物,# 查看角色,(ESC離開)	39	Y		engine/scene.go
7	ds:6DF2	The party leaves..	18	隊伍離開了……	12	Y		engine/scene.go
10	ds:6E4C	Item to buy, ESC to leave, any key to page.	43	選購道具,ESC離開,任意鍵翻頁。	29	Y		engine/scene.go
11	ds:6E7C	[MORE]	6	【更多】	8	8		engine/town_scene.go
12	ds:6E8A	Item to buy, ESC to leave.	26	選購道具,ESC離開。	18	Y		engine/scene.go
14	ds:6EBC	Cost is 	8	價格為 	7	Y		engine/town_scene.go
15	ds:6EC8	Give to char #	14	交給角色 #	10	Y		engine/town_scene.go
16	ds:6EDA	(ESC to exit)	13	(ESC離開)	9	Y		
17	ds:6EF2	 ok!	4	 好!	4	Y		
19	ds:6F02	No more room!	13	沒有空間了!	11	Y		engine/internal/town/town.go
20	ds:6F14	Done!	5	完成!	5	Y		engine/town_scene.go
21	ds:6F20	Healing	7	醫療	4	Y		engine/internal/town/heal.go
22	ds:6F2C	Unpoison	8	解毒	4	Y		engine/internal/town/heal.go
23	ds:6F38	Unbind	6	解除束縛	8	8		engine/internal/town/heal.go
24	ds:6F42	Ressurect	9	復活	4	Y		engine/internal/town/heal.go
25	ds:6F64	/lvl	4	/等級	5	5		
26	ds:6F6C	Enter character # to be healed, (ESC exits)	43	輸入要醫療的角色編號,(ESC離開)	30	Y		engine/town_scene.go
27	ds:6FAE	That will cost   	17	這將花費   	11	Y		
28	ds:6FC4	 gold, Pay (Y/N)?	17	 金幣,付款嗎?(Y/N)	18	18		
30	ds:6FEA	Your rooms will cost	20	房間將花費	10	Y		
31	ds:7002	 gold each night.  How many nights do you wish to sleep (1-9, 0 exits) ?	72	 金幣一晚。要住幾晚?(1–9,0離開)	31	Y		
32	ds:705A	You sleep...	12	你們睡了一覺……	14	14		engine/town_scene.go
34	ds:7078	Welcome to the	14	歡迎來到	8	Y		engine/town_scene.go
35	ds:708A	Fighter's Guild.	16	戰士公會。	10	Y		engine/town_scene.go
36	ds:70A0	Wizard's Guild.	15	巫師公會。	10	Y		engine/town_scene.go
37	ds:70B4	Which character # seeks advancement in his art (ESC exits) ?	60	哪位角色要精進技藝?(ESC離開)	28	Y		engine/town_scene.go
38	ds:70FC	You are the wrong class!	24	你的職業不對!	13	Y		engine/internal/town/train.go
39	ds:712A	This character is incapacitated!	32	這位角色行動不能!	17	Y		engine/internal/town/camp.go
40	ds:7166	The Guild decides you need	26	公會判定你還需要	16	Y	spec/19 §1.1 範例句	engine/town_scene.go
41	ds:7184	 experience before gaining a level.	35	 點經驗才能升級。	17	Y	spec/19 §1.1 範例句	engine/town_scene.go
42	ds:71CA	You made a level!  You gain	27	你升級了!你獲得	15	Y		engine/town_scene.go
43	ds:71EA	 hit points.	12	 點生命點數。	13	13		engine/town_scene.go
44	ds:7202	You also gain	13	你還獲得	8	Y		engine/town_scene.go
45	ds:7214	 Spell Points!	14	 點法力點數!	12	Y		engine/town_scene.go
46	ds:7238	Stats are up by:	16	屬性提升：	10	Y		engine/town_scene.go
47	ds:7254	1 pt of 	8	1 點	4	Y		engine/town_scene.go
48	ds:726E	* 	2	* 	2	Y		engine/town_scene.go
49	ds:7274	You have	8	你還剩	6	Y		engine/town_scene.go;engine/skill_alloc_scene.go
50	ds:7280	points left.	12	點可分配。	10	Y		engine/town_scene.go;engine/skill_alloc_scene.go
51	ds:7290	Enter skill,	12	輸入技能,	9	Y		engine/skill_alloc_scene.go
52	ds:72A0	(0 exits) 	10	(0離開) 	8	Y		engine/skill_alloc_scene.go
54	ds:72B8	Not enough IQ !	15	智能不夠!	9	Y		
