row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
6	ds:6F2A	      Camp:	11	      營地：	6	Y		engine/town_scene.go
7	ds:6F3A	 P)rint char(s)	15	 P)列印角色卡	13	Y		engine/town_scene.go
8	ds:6F4E	 S)leep	7	 S)睡覺	7	Y		engine/town_scene.go
9	ds:6F5A	 #)inspect char 	16	 #)查看角色 	12	Y		engine/town_scene.go
10	ds:6F6E	 C)ast spell	12	 C)施放法術	11	Y		engine/town_scene.go
11	ds:6F7E	 R)eorder	9	 R)調整隊形	11	11		engine/town_scene.go
12	ds:6F8C	 T)rade	7	 T)交易	7	Y		engine/town_scene.go
13	ds:6F98	 D)rop	6	 D)丟棄	7	7		engine/town_scene.go
14	ds:6FA2	 E)quip	7	 E)裝備	7	Y		engine/town_scene.go
15	ds:6FAE	 H)unt	6	 H)打獵	7	7		engine/town_scene.go
16	ds:6FB8	 I)dentify	10	 I)鑑定	7	Y		engine/town_scene.go
17	ds:6FC6	 U)se an item	13	 U)使用道具	11	Y		engine/town_scene.go
18	ds:6FD8	 ESC to leave	13	 ESC離開	8	Y		engine/town_scene.go
19	ds:6FEA	Breaking Camp..	15	拔營中……	8	Y		engine/town_scene.go
34	ds:7078	Character # to trade from ?, (ESC exits)	40	從哪位角色交易?(ESC離開)	24	Y		engine/town_scene.go
35	ds:70A8	Trade which ?	13	交易哪一件?	11	Y		engine/town_scene.go
36	ds:70C8	    Give to ? 	14	    交給誰? 	12	Y		engine/town_scene.go
37	ds:70E0	NO ROOM !	9	沒有空間!	9	Y		engine/internal/town/create.go
38	ds:70F2	 OK	3	 完成	5	5		engine/internal/town/create.go
39	ds:70FA	Character # to equip ? (ESC exits)	34	哪位角色要裝備?(ESC離開)	24	Y		engine/town_scene.go
40	ds:7124	Weapon? 	8	武器? 	6	Y		engine/town_scene.go
41	ds:7130	 skips.	7	 略過。	7	Y		engine/town_scene.go
42	ds:7140	No Weapon	9	無武器	6	Y		engine/town_scene.go
43	ds:7152	NO SKILL !	10	沒有技能!	9	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。裝備的武器技能閘門:引擎不檢查角色會不會用這件武器。	
47	ds:717A	Armor?  	8	防具? 	6	Y		engine/town_scene.go
48	ds:7186	 skips.	7	 略過。	7	Y		engine/town_scene.go
49	ds:7192	No Armor  	10	無防具 	7	Y		engine/town_scene.go
50	ds:71A0	OK !	4	好!	3	Y		engine/town_scene.go
51	ds:71A8	Character # dropping item ? (ESC exits)	39	哪位角色要丟棄道具?(ESC離開)	28	Y		engine/town_scene.go
52	ds:71D8	Item to drop ?	14	要丟棄哪件?	11	Y		engine/town_scene.go
53	ds:71F2	Dropped ! 	10	已丟棄! 	8	Y		engine/town_scene.go
54	ds:7200	You have slept !	16	你們睡了一覺!	13	Y		engine/town_scene.go
55	ds:7216	You are not tired	17	你們還不累	10	Y		engine/town_scene.go
56	ds:722C	You sleep...	12	你們睡下了……	14	14	原版是**先後兩句**:睡下去印這一句、醒來印 CAMP:54 `You have slept !`。⚠ 先前兩句譯成同一個中文,分不出來 —— 這一句改成「睡下了」保住那個先後。	engine/town_scene.go
58	ds:724A	Character # wishing to identify? (ESC exits)	44	哪位角色要鑑定?(ESC離開)	24	Y		engine/town_scene.go
60	ds:7284	Item to ID ?	12	要鑑定哪件?	11	Y		engine/town_scene.go
61	ds:729C	You are not trained in that lore!	33	你沒有受過這方面的知識訓練!	27	Y		engine/town_scene.go
62	ds:72DA	Failed	6	失敗	4	Y		engine/town_scene.go
63	ds:72E4	You're inside!	14	你在室內!	9	Y		engine/internal/town/camp.go
64	ds:72F6	Character # to hunt ? (ESC exits)	33	哪位角色要打獵?(ESC離開)	24	Y	spec/19 §1.1 H)unt 打獵閘門相關句	engine/town_scene.go
65	ds:7326	The hunt was	12	這次打獵	8	Y		engine/town_scene.go
66	ds:7336	not successful.	15	沒有收穫。	10	Y		engine/town_scene.go
67	ds:734A	successful!	11	有收穫!	7	Y		engine/town_scene.go
68	ds:735C	Enter new 	10	輸入新的	8	Y		engine/town_scene.go
69	ds:736A	position for:	13	位置給：	8	Y		engine/town_scene.go
70	ds:737C	 Letter?	8	 字母?	6	Y		engine/town_scene.go
71	ds:7388	  A B C 	8	  A B C 	8	Y	⛔ **不接,而且不是版面偏好**:原版的格子圖只有 **9 個字母**(A–I),而背包是 **10 格**(docs/re/144 §3,手冊 p.39 也寫 10 件)—— 照畫會少掉第 10 格,而畫面上看起來完全正常。引擎改列道具名稱,10 格都列得到。	
72	ds:7394	  D E F 	8	  D E F 	8	Y	⛔ **不接,而且不是版面偏好**:原版的格子圖只有 **9 個字母**(A–I),而背包是 **10 格**(docs/re/144 §3,手冊 p.39 也寫 10 件)—— 照畫會少掉第 10 格,而畫面上看起來完全正常。引擎改列道具名稱,10 格都列得到。	
73	ds:73A0	  G H I 	8	  G H I 	8	Y	⛔ **不接,而且不是版面偏好**:原版的格子圖只有 **9 個字母**(A–I),而背包是 **10 格**(docs/re/144 §3,手冊 p.39 也寫 10 件)—— 照畫會少掉第 10 格,而畫面上看起來完全正常。引擎改列道具名稱,10 格都列得到。	
75	ds:73BC	Character # to cast spell ? (ESC exits)	39	哪位角色要施法?(ESC離開)	24	Y		engine/town_scene.go
76	ds:73EC	Cast what spell?	16	施放哪個法術?	13	Y		engine/camp_actions.go
77	ds:7400	(ENTER exits)	13	(ENTER離開)	11	Y		engine/camp_actions.go
78	ds:7412	DAZA REVELI	11	DAZA REVELI	11	Y	⛔ 不譯:玩家要打回去的通關咒語(glossary 硬規則5)。	
79	ds:7422	The gate opens	14	大門開啟了	10	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。`DAZA REVELI` 大門:對著大門唸咒語的機關,規則沒讀過。	
80	ds:7436	Mumble, mumble, what spell did you say ?	40	喃喃自語,你剛剛說的是哪個法術?	30	Y	保留戲謔語氣('Mumble, mumble'),spec/19 §6 明訂範例。	
81	ds:746A	That is a combat spell !	24	那是戰鬥法術!	13	Y		engine/camp_actions.go
82	ds:7498	You don't know that spell!	26	你不會那個法術!	15	Y		engine/internal/magic/magic.go
83	ds:74BE	Spell Pts ?	11	花費幾點法力?	13	13		engine/camp_actions.go
84	ds:74D0	You don't have that many!	25	你沒有那麼多!	13	Y		engine/camp_actions.go
85	ds:74F8	You need more spell points than that!	37	你需要更多法力點數!	19	Y	spec/19 §1.1 範例句,一字不差	engine/internal/magic/magic.go
87	ds:7532	Aack!  there is something wrong with the data files, please restore!	68	啊咧!資料檔好像出了問題,請重新還原!	35	Y		engine/main.go
88	ds:7582	Character # to use item ?  (ESC exits)	38	哪位角色要使用道具?(ESC離開)	28	Y		engine/town_scene.go
89	ds:75B0	Use Item:	9	使用道具：	10	Y		engine/camp_actions.go
