row	original	byte_len
0	Lvl  1 Fighter	14
1	Lvl  1 Wizard	13
2	Orc	3
3	Spider	6
4	Rat	3
5	Bat	3
6	Bugem	5
7	Skeleton	8
8	Skeleton Mage	13
9	Cobra	5
10	Hill Giant	10
11	Evil Spirit	11
12	Death Adder	11
13	Lvl  2 Fighter	14
14	Lvl  2 Wizard	13
15	Lvl  3 Fighter	14
16	Lvl  3 Wizard	13
17	Zombie	6
18	Edrin	5
19	Cook	4
20	Lvl  4 Fighter	14
21	Lvl  4 Wizard	13
22	Ghost	5
23	Ghoul	5
24	Goblin	6
25	Spectre	7
26	Kobold	6
27	Hobgoblin	9
28	Lvl  6 Fighter	14
29	Lvl  5 Wizard	13
30	Gargoyle	8
31	Lvl  8 Fighter	14
32	Lvl  8 Wizard	13
33	Lvl 10 Fighter	14
34	Lvl 10 Wizard	13
35	Lvl 12 Fighter	14
36	Lvl 13 Wizard	13
37	Lvl 15 Fighter	14
38	Lvl 16 Wizard	13
39	Fire Elemental	14
40	Metal Elemental	15
41	Wind Elemental	14
42	Ice Elemental	13
43	Spirit Elemental	16
44	Fire Demon	10
45	Ice Demon	9
46	Demon Lord	10
47	Devil	5
48	Wraith	6
49	Devir	5
50	Baby Dragon	11
51	Small Dragon	12
52	Large Dragon	12
53	Great Dragon	12
54	Titan	5
55	Ogre	4
56	Warrior King	12
57	Arch Mage	9
58	Pit Viper	9
59	Rattlesnake	11
60	Giant Spider	12
61	Giant Snake	11
62	Mountain Giant	14
63	Shambling Mound	15
64	Guard	5
65	Swamp King	10
66	Orc	3
67	Murthin	7
68	Cercion	7
69	Vandiguard	10
70	Lothian	7
71	Siriadne !	10
72	R A L I T H	11
73	Dark Raven	10
