id	original	translation	note
503	In the center of the pool lies a shining silver statue of a muscular warrior.  He holds his head erect and his sword to the sky.	水池中央矗立著一尊閃耀的銀色雕像,是一位肌肉健壯的戰士。他昂首挺立,劍指向天空。	
504	The entry room.  A large dragon hisses, 'Welcome to the Tower of Ralith!'	入口大廳。一條巨龍嘶聲道：「歡迎來到拉利斯(Ralith)之塔!」	專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
505	The great hall.  A powerful looking fighter is here with a few friends.  You get the feeling you're not wanted.	大廳。一名氣勢十足的戰士與幾位同伴在此。你感覺自己並不受歡迎。	fighter 譯法同 308。
511	This is a wizard's library.  A number of books are about words of command and you read one of interest on how they can be mentally blocked out.	這是一間巫師的圖書室。這裡有許多書籍講述著咒語,你讀了一本頗有意思的書,內容是如何在心中將咒語封鎖遺忘。	
512	You see a baby dragon curled up at the foot of a staircase leading up.  As you enter he lets out a puff of steam and moves menacingly towards you.	你看見一隻幼龍蜷伏在通往樓上的階梯腳下。牠見你進來,噴出一口蒸氣,威嚇地朝你逼近。	
513	A few of Siriadne's lesser henchmen are dining on a meal of meat and ale.  They draw their weapons and advance.	希瑞雅妮(Siriadne)的幾名低階爪牙正在此享用肉食與麥酒。他們拔出武器,逼近而來。	專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
514	A towering figure appears from around a corner, 'OH!, I hope you provide more sport than the last group....'	一道高大的身影從轉角處現身：「喔!希望你們能比上一批人更有看頭……」	
515	'My, my.  Care to play?', asks a hulking giant- as he charges the party.	「哎呀哎呀,想玩玩嗎?」一名壯碩的巨人一邊說,一邊朝隊伍衝來。	
516	The art gallery.  The paintings are quite beautiful and represent a history of wealth and prosperity.  Most of them depict tranquil landscape scenes - ironic considering the tower's current owner.	藝廊。畫作十分精美,展現著一段富庶繁華的歷史。畫中多描繪寧靜的風景——對照這座高塔如今的主人,顯得格外諷刺。	
517	A demonic chapel has been built here.  The walls have been charred black.  Two gargoyles with glowing red eyes guard the altar.	這裡建有一座邪魔禮拜堂,牆壁被燻得焦黑。兩隻雙眼發紅的石像鬼看守著祭壇。	
518	A pool of water that eminates power is here.	一池散發著力量氣息的水在此。	
519	To the south is a balcony leaning out of the tower.  From there you see the lake of fire surrounding Ralith.  Beyond is a grand expanse of plains.  What looks like a dove is perched upon the balcony.	南方是伸出塔外的一座陽台。從那裡可以看見環繞拉利斯(Ralith)的火湖,遠方是一片遼闊的平原。陽台上似乎棲息著一隻鴿子。	專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
520	A beautiful bird made of paper folded in to the shape of a dove is on the edge of the balcony.  As you move towards it a great flapping of wings is heard and a great black bat-like creature with red eyes swoops down at you.	陽台邊緣有一隻用紙折成的美麗鴿子。當你走近時,傳來一陣翅膀拍動的巨響,一隻長著紅眼的巨大黑色蝙蝠狀生物朝你俯衝而下。	
521	You are in a library with stacks of old and dusty tomes.  They all appear to be about elementals and how they are summoned.  It would take a great wizard indeed to summon one, but it is possible.	你身處一間圖書室,堆滿了古老蒙塵的典籍。它們似乎都在講述元素精靈與召喚之法。要召喚出一隻元素精靈,需要一位偉大的巫師才辦得到,但並非不可能。	
522	A shimmering force field prevents you from passing.	一道閃爍的力場擋住了你的去路。	
523	A gleaming sword bars further entry into this room.  It follows you movements and maneuvers with great skill.	一柄閃亮的劍擋在門口,阻止你進一步深入。牠緊盯著你的動作,以高超的技巧隨之閃避周旋。	
524	A red door at the end of the passage is guarded by a demon.  Its skin is red and scaly, its very gaze implies fire that singes the soul.	通道盡頭的一扇紅色門由一隻惡魔看守著。牠的皮膚赤紅而佈滿鱗片,光是牠的目光便彷彿帶著能灼燒靈魂的火焰。	
525	A blast of heat hits you as you open the door.  A being like a huge bonfire jumps out at you leaving a trail of fury and flames . . .	你一打開門,一股熱浪迎面撲來。一個宛如巨大營火的生物躍出,留下一路的狂怒與烈焰……	
